user_name;text;;;;;;;;;;;;
Alleviate Alexander;I'm at Poslaju Kuching Selatan (Kuching) http://4sq.com/hj9NEu;;;;;;;;;;;;
Alleviate Alexander;I just became the mayor of Poslaju Kuching Selatan on @foursquare! http://4sq.com/gWV45M;;;;;;;;;;;;
Nur Muhammad;collect item (@ POSLAJU National Courier) http://4sq.com/g9iCsh;;;;;;;;;;;;
Nur Muhammad;collect item (@ POSLAJU National Courier) http://4sq.com/g9iCsh;;;;;;;;;;;;
Slow Loris;Xsabar nk bukak kotak ni.. Abg posmen cpt la bukak pintu (@ Poslaju Shah Alam) http://4sq.com/gL7pn1;;;;;;;;;;;;
Slow Loris;Xsabar nk bukak kotak ni.. Abg posmen cpt la bukak pintu (@ Poslaju Shah Alam) http://4sq.com/gL7pn1;;;;;;;;;;;;
Farihah Daebak­®;Pos laju ni mmg saja nk makian free dr aku ni;;;;;;;;;;;;
Farihah Daebak­®;Pos laju ni mmg saja nk makian free dr aku ni;;;;;;;;;;;;
#RedMachine;Bkn pelat tu tp terkejut dgn abam pos laju. hahaha RT @Ery_Farieha: @ShahrillSaehuri hahahah saje pelat2 :P http://myloc.me/hY7ry;;;;;;;;;;;;
#RedMachine;Abam tu ape.? RT @Ery_Farieha: dikejutkan oleh abam pos laju T____________________T http://myloc.me/hY6nj;;;;;;;;;;;;
Idris B Ramli 9W2iRQ;I'm at Pusat Poslaju (Jalan Tun Sambanthan  Kuala Lumpur) http://4sq.com/hD8jLp;;;;;;;;;;;;
abdul muhaimin;1-3-2011. mak bagi RM 20  masuk bank RM 20  pos laju RM 5.80  cendol RM 2.60;;;;;;;;;;;;
abdul muhaimin;1-3-2011. mak bagi RM 20  masuk bank RM 20  pos laju RM 5.80  cendol RM 2.60;;;;;;;;;;;;
Veronika White;@nfatinafifa ask him to create one! Hehe. Oh  sy punya tak smpi2 lg kat Haiqarl. Pdhal poslaju & pdhal ke Batu Pahat je. Takut tak smpi :(;;;;;;;;;;;;
maggie;Courrie-ing stuff.. (@ POSLAJU National Courier) http://4sq.com/i0lIMz;;;;;;;;;;;;
Aomine(no complaining positive vibes day 0);Waiting for my Liverpool sweater D: (@ Pos Laju) http://4sq.com/i5iuDl;;;;;;;;;;;;
an;@ap11h pos laju r bro?? ade bran?;;;;;;;;;;;;
_sepul_;I'm at POSLAJU National Courier (Persiaran Perdana Kompleks Perbadanan Putrajaya  Presint 13  Putrajaya) http://4sq.com/hbImsp;;;;;;;;;;;;
_sepul_;I'm at POSLAJU National Courier (Persiaran Perdana Kompleks Perbadanan Putrajaya  Presint 13  Putrajaya) http://4sq.com/hbImsp;;;;;;;;;;;;
Nizam Ghazali;I'm at POSLAJU National Courier (Taman Desa Batu Caves  Batu Caves) http://4sq.com/g2r7tr;;;;;;;;;;;;
Nizam Ghazali;I'm at POSLAJU National Courier (Taman Desa Batu Caves  Batu Caves) http://4sq.com/g2r7tr;;;;;;;;;;;;
Amlee Ronin;I'm at Poslaju (Bandar Baru Senawang  Seremban) http://4sq.com/g9ZjWy;;;;;;;;;;;;
sai;I'm at Poslaju National Courier  Miri (Jalan Post  Miri) http://4sq.com/gtuXMB;;;;;;;;;;;;
sai;I just ousted Jeffery O. as the mayor of Poslaju National Courier  Miri on @foursquare! http://4sq.com/ddR2gi;;;;;;;;;;;;
AnuarDesmo;I'm at Poslaju Bangi http://4sq.com/h19JZD;;;;;;;;;;;;
Faeza.;I'm at Poslaju National Courier  Miri (Jalan Post  Miri) http://4sq.com/fZ2D0o;;;;;;;;;;;;
Faeza.;I'm at Poslaju National Courier  Miri (Jalan Post  Miri) http://4sq.com/fZ2D0o;;;;;;;;;;;;
Syhzmn Taulan;I'm at Poslaju Dolomite Business Centre (Jalan Desa Batu Caves 1/7  Batu Caves) http://4sq.com/e8PFsS;;;;;;;;;;;;
Syhzmn Taulan;I'm at Poslaju Dolomite Business Centre (Jalan Desa Batu Caves 1/7  Batu Caves) http://4sq.com/e8PFsS;;;;;;;;;;;;
A Sabry Othman;I'm at Poslaju Bangi http://4sq.com/fpcV9K;;;;;;;;;;;;
satanduck;picking up something I don't really want from the bank I'm sure (@ Poslaju) http://4sq.com/fuavsN;;;;;;;;;;;;
